"Дата операции";"Дата платежа";"Номер карты";"Статус";"Сумма операции";"Валюта операции";"Сумма платежа";"Валюта платежа";"Кэшбэк";"Категория";"MCC";"Описание";"Бонусы (включая кэшбэк)"
"19.09.2017 13:13:18";"20.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"18.09.2017 13:53:30";"20.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"16.09.2017 23:48:33";"17.09.2017 00:00:00";"*9819";"OK";"-600,00";"RUB";"-600,00";"RUB";"";"Интернет, voip/иб";"";"OnLime medv";"0,00"
"16.09.2017 12:14:38";"17.09.2017 00:00:00";"*9819";"OK";"-246,89";"RUB";"-246,89";"RUB";"2";"Супермаркеты";"5499";"MAGAZIN RAZDOLJE";"2,00"
"16.09.2017 12:11:15";"17.09.2017 00:00:00";"*9819";"OK";"-106,00";"RUB";"-106,00";"RUB";"1";"Супермаркеты";"5499";"MAGAZIN RAZDOLJE";"1,00"
"15.09.2017 12:27:56";"16.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"14.09.2017 18:38:07";"15.09.2017 00:00:00";"*9819";"OK";"-10542,08";"RUB";"-10542,08";"RUB";"105";"Финан. услуги";"6300";"19931172";"105,00"
"14.09.2017 12:25:17";"15.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"14.09.2017 11:35:19";"14.09.2017 00:00:00";"*9819";"OK";"-5000,00";"RUB";"-5000,00";"RUB";"";"Переводы/иб";"";"Софье";"0,00"
"13.09.2017 12:48:09";"15.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"12.09.2017 23:06:34";"13.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"";"Гос. сборы";"";"ГИБДД онлайн РФ";"0,00"
"12.09.2017 13:13:53";"14.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"11.09.2017 12:31:27";"12.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"09.09.2017 22:00:51";"10.09.2017 00:00:00";"*9819";"OK";"33902,91";"RUB";"33902,91";"RUB";"";"Финан. услуги";"6012";"Перевод c карты другого банка";"0,00"
"08.09.2017 20:31:53";"10.09.2017 00:00:00";"*9819";"OK";"-4919,00";"RUB";"-4919,00";"RUB";"49";"Авто услуги";"5533";"AVTOZAPCHASTI";"49,00"
"08.09.2017 20:31:26";"08.09.2017 00:00:00";"*9819";"OK";"50000,00";"RUB";"50000,00";"RUB";"";"Финан. услуги";"6012";"Перевод c карты другого банка";"0,00"
"08.09.2017 13:09:07";"09.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"07.09.2017 12:46:07";"08.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"06.09.2017 13:18:41";"07.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"06.09.2017 00:00:00";"06.09.2017 00:00:00";"*9819";"OK";"-39,00";"RUB";"-39,00";"RUB";"";"Другое";"";"Плата за предоставление услуги SMS-банк";"0,00"
"06.09.2017 00:00:00";"06.09.2017 00:00:00";"";"OK";"294,00";"RUB";"294,00";"RUB";"";"Другое";"";"Вознаграждение за операции покупок";"0,00"
"06.09.2017 00:00:00";"06.09.2017 00:00:00";"";"OK";"5,30";"RUB";"5,30";"RUB";"";"Другое";"";"Вознаграждение за операции покупок по спецпредложениям";"0,00"
"06.09.2017 00:00:00";"06.09.2017 00:00:00";"";"OK";"217,94";"RUB";"217,94";"RUB";"";"Другое";"";"Проценты на остаток по счету";"0,00"
"05.09.2017 12:38:04";"06.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"04.09.2017 21:37:18";"05.09.2017 00:00:00";"*9819";"OK";"5000,00";"RUB";"5000,00";"RUB";"";"Другое";"";"Валерия Рябоконь";"0,00"
"04.09.2017 13:04:01";"05.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
"03.09.2017 18:02:49";"05.09.2017 00:00:00";"*9819";"OK";"-1357,50";"RUB";"-1357,50";"RUB";"13";"Дом, ремонт";"5261";"Леруа Мерлен";"13,00"
"03.09.2017 16:04:14";"04.09.2017 00:00:00";"*9819";"OK";"-5000,00";"RUB";"-5000,00";"RUB";"";"Наличные";"6011";"Снятие наличных: Сбербанк, ***";"0,00"
"03.09.2017 11:48:25";"04.09.2017 00:00:00";"*9819";"OK";"-600,00";"RUB";"-600,00";"RUB";"6";"Топливо";"5541";"TNKAZK TNK MJ037";"6,00"
"01.09.2017 12:35:03";"02.09.2017 00:00:00";"*9819";"OK";"-250,00";"RUB";"-250,00";"RUB";"2";"Рестораны";"5812";"J HOUSE LTD";"2,00"
